  M1  |  M2  |  M   |  T  
    2 |    1 |    2 | 2
    3 |    1 |    3 | 3
    4 |    1 |    2 | 4
    4 |    1 |    4 | 4
    5 |    1 |    5 | 5
    6 |    1 |    2 | 6
    6 |    1 |    3 | 6
    6 |    1 |    6 | 6
    7 |    1 |    7 | 7
    8 |    1 |    2 | 8
    8 |    1 |    4 | 8
    8 |    1 |    8 | 8
    9 |    1 |    3 | 9
    9 |    1 |    9 | 9
   10 |    1 |    2 | 10
   10 |    1 |    5 | 10
   10 |    1 |   10 | 10
   11 |    1 |   11 | 11
   12 |    1 |    2 | 12
   12 |    1 |    3 | 12
   12 |    1 |    4 | 12
   12 |    1 |    6 | 12
   12 |    1 |   12 | 12
   13 |    1 |   13 | 13
   14 |    1 |    2 | 14
   14 |    1 |    7 | 14
   14 |    1 |   14 | 14
   15 |    1 |    3 | 15
   15 |    1 |    5 | 15
   15 |    1 |   15 | 15
   16 |    1 |    2 | 16
   16 |    1 |    4 | 16
   16 |    1 |    8 | 16
   16 |    1 |   16 | 16
   17 |    1 |   17 | 17
   18 |    1 |    2 | 18
   18 |    1 |    3 | 18
   18 |    1 |    6 | 18
   18 |    1 |    9 | 18
   18 |    1 |   18 | 18
   19 |    1 |   19 | 19
   20 |    1 |    2 | 20
   20 |    1 |    4 | 20
   20 |    1 |    5 | 20
   20 |    1 |   10 | 20
   20 |    1 |   20 | 20
   21 |    1 |    3 | 21
   21 |    1 |    7 | 21
   21 |    1 |   21 | 21
   22 |    1 |    2 | 22
   22 |    1 |   11 | 22
   22 |    1 |   22 | 22
   23 |    1 |   23 | 23
   24 |    1 |    2 | 24
   24 |    1 |    3 | 24
   24 |    1 |    4 | 24
   24 |    1 |    6 | 24
   24 |    1 |    8 | 24
   24 |    1 |   12 | 24
   24 |    1 |   24 | 24
   25 |    1 |    5 | 25
   25 |    1 |   25 | 25
   26 |    1 |    2 | 26
   26 |    1 |   13 | 26
   26 |    1 |   26 | 26
   27 |    1 |    3 | 27
   27 |    1 |    9 | 27
   27 |    1 |   27 | 27
   28 |    1 |    2 | 28
   28 |    1 |    4 | 28
   28 |    1 |    7 | 28
   28 |    1 |   14 | 28
   28 |    1 |   28 | 28
   29 |    1 |   29 | 29
   30 |    1 |    2 | 30
   30 |    1 |    3 | 30
   30 |    1 |    5 | 30
   30 |    1 |    6 | 30
   30 |    1 |   10 | 30
   30 |    1 |   15 | 30
   30 |    1 |   30 | 30
